action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2594354,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCC[C@@H](Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '12.05', 'le': '0.24', 'lle': '-1.13', 'sei': '5.86'}",CHEMBL457204,,CHEMBL457204,5.80,0,http://www.openphacts.org/units/Nanomolar,799255,=,1,1,=,,IC50,nM,,1600.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,1.6
,,2594416,[],CHEMBL1012769,Inhibition of mPGES1 in human A549 cells assessed as inhibition of IL-1-beta-induced PGE2 formation by cell-intact assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '12.06', 'le': '0.25', 'lle': '-1.09', 'sei': '6.55'}",CHEMBL518038,,CHEMBL518038,4.92,0,http://www.openphacts.org/units/Nanomolar,799895,=,1,1,=,,IC50,nM,,12000.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,12.0
,,2594418,[],CHEMBL1012769,Inhibition of mPGES1 in human A549 cells assessed as inhibition of IL-1-beta-induced PGE2 formation by cell-intact assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.11', 'le': '0.22', 'lle': '-1.70', 'sei': '6.95'}",CHEMBL462523,,CHEMBL462523,5.22,0,http://www.openphacts.org/units/Nanomolar,799989,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,6.0
,,2594419,[],CHEMBL1012769,Inhibition of mPGES1 in human A549 cells assessed as inhibition of IL-1-beta-induced PGE2 formation by cell-intact assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(OCC(F)(F)F)cc(OCC(F)(F)F)c2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,,CHEMBL457000,,CHEMBL457000,,0,http://www.openphacts.org/units/Nanomolar,799254,>=,1,1,>=,,IC50,nM,,30000.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,30.0
,,2594421,[],CHEMBL1012773,Inhibition of mPGES1,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.90', 'le': '0.24', 'lle': '-2.39', 'sei': '13.31'}",CHEMBL29097,,CHEMBL29097,5.62,0,http://www.openphacts.org/units/Nanomolar,799258,=,1,1,=,,IC50,nM,,2400.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.4
,,2647238,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(-c3ccc(-c4ccccc4)c(F)c3)cc12,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '15.06', 'le': '0.28', 'lle': '-0.86', 'sei': '18.76'}",CHEMBL182032,,CHEMBL182032,7.92,0,http://www.openphacts.org/units/Nanomolar,816988,=,1,1,=,,IC50,nM,,12.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.012
,,2647248,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,O=C(O)CCc1c(-c2ccc(Cl)cc2)c(-c2ccccc2)c2n1CCC2,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '15.70', 'le': '0.30', 'lle': '0.30', 'sei': '13.60'}",CHEMBL550489,,CHEMBL550489,5.75,0,http://www.openphacts.org/units/Nanomolar,817015,=,1,1,=,,IC50,nM,,1800.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,1.8
,,2647250,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,Cc1ccc(S(=O)(=O)NC(=O)CCc2c(-c3ccc(Cl)cc3)c(-c3ccccc3)c3n2CC(C)(C)C3)cc1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '10.38', 'le': '0.20', 'lle': '-1.12', 'sei': '8.33'}",CHEMBL551236,,CHEMBL551236,5.68,0,http://www.openphacts.org/units/Nanomolar,817072,=,1,1,=,,IC50,nM,,2100.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.1
,,2647251,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '12.02', 'le': '0.24', 'lle': '-2.33', 'sei': '13.44'}",CHEMBL29097,,CHEMBL29097,5.68,0,http://www.openphacts.org/units/Nanomolar,816987,=,1,1,=,,IC50,nM,,2110.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.11
,,2647252,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(Cc3nnn[nH]3)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '13.39', 'le': '0.25', 'lle': '0.25', 'sei': '9.11'}",CHEMBL564318,,CHEMBL564318,5.41,0,http://www.openphacts.org/units/Nanomolar,817099,=,1,1,=,,IC50,nM,,3900.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,3.9
,,2647253,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)NS(=O)(=O)c3ccccc3)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '10.30', 'le': '0.20', 'lle': '-0.76', 'sei': '7.84'}",CHEMBL563280,,CHEMBL563280,5.35,0,http://www.openphacts.org/units/Nanomolar,817070,=,1,1,=,,IC50,nM,,4500.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,4.5
,,2647254,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,Cc1ccc(S(=O)(=O)NC(=O)Cc2c(-c3ccc(Cl)cc3)c(-c3ccccc3)c3n2CC(C)(C)C3)cc1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '9.98', 'le': '0.20', 'lle': '-1.09', 'sei': '7.80'}",CHEMBL550894,,CHEMBL550894,5.32,0,http://www.openphacts.org/units/Nanomolar,817071,=,1,1,=,,IC50,nM,,4800.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,4.8
,,2647255,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CCC1(CC)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)NS(C)(=O)=O)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '10.78', 'le': '0.22', 'lle': '-0.23', 'sei': '7.67'}",CHEMBL560898,,CHEMBL560898,5.23,0,http://www.openphacts.org/units/Nanomolar,817069,=,1,1,=,,IC50,nM,,5900.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,5.9
,,2647256,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc4ccoc4c3)c(CC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '13.51', 'le': '0.25', 'lle': '-0.57', 'sei': '9.41'}",CHEMBL561824,,CHEMBL561824,5.21,0,http://www.openphacts.org/units/Nanomolar,817042,=,1,1,=,,IC50,nM,,6200.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,6.2
,,2647257,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '13.62', 'le': '0.26', 'lle': '-0.51', 'sei': '12.25'}",CHEMBL300982,LICOFELONE,CHEMBL300982,5.17,0,http://www.openphacts.org/units/Nanomolar,817012,=,1,1,=,,IC50,nM,,6700.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,6.7
,,2647258,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CCC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '13.06', 'le': '0.25', 'lle': '-0.94', 'sei': '12.18'}",CHEMBL549341,,CHEMBL549341,5.14,0,http://www.openphacts.org/units/Nanomolar,817014,=,1,1,=,,IC50,nM,,7200.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,7.2
,Not Determined,2647293,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,O=C(O)Cc1c(-c2ccc(Cl)cc2)c(-c2ccccc2)c2n1CCC2,,,CHEMBL1158497,J Med Chem,2009,,CHEMBL294159,,CHEMBL294159,,0,,817013,,1,0,,,IC50,,,,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,,,,
,Not Determined,2648017,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc([N+](=O)[O-])cc3)c(CC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,,CHEMBL292239,,CHEMBL292239,,0,,817016,,1,0,,,IC50,,,,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,,,,
,Not Determined,2648020,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(C(F)(F)F)cc3)c(CC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,,CHEMBL565159,,CHEMBL565159,,0,,817041,,1,0,,,IC50,,,,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,,,,
,Not Determined,2648024,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(C(C)(C)C)cc3)c(CC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,,CHEMBL57062,,CHEMBL57062,,0,,817043,,1,0,,,IC50,,,,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,,,,
,Not Determined,2648027,[],CHEMBL1036476,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as residual enzyme activity after 1 min by measuring PGE2 level using RP-HPLC method,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)NS(C)(=O)=O)n2C1,,,CHEMBL1158497,J Med Chem,2009,,CHEMBL560897,,CHEMBL560897,,0,,817044,,1,0,,,IC50,,,,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,,,,
,,2648037,[],CHEMBL1036472,Inhibition of mPGES1 in IL1-beta treated human A549 cell microsomal membrane assessed as blockade of PGH2 to PGE2 conversion after 1 min,B,,,BAO_0000190,BAO_0000251,microsome format,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,,,CHEMBL1158497,J Med Chem,2009,"{'bei': '13.75', 'le': '0.26', 'lle': '-0.46', 'sei': '12.37'}",CHEMBL300982,LICOFELONE,CHEMBL300982,5.22,0,http://www.openphacts.org/units/Nanomolar,817012,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,6.0
,,3016286,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3ccccc3c3ccccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '21.46', 'le': '0.41', 'lle': '1.11', 'sei': '25.95'}",CHEMBL270347,,CHEMBL270347,7.44,0,http://www.openphacts.org/units/Nanomolar,862816,=,1,1,=,,IC50,nM,,36.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.036
,,3016287,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '21.77', 'le': '0.44', 'lle': '1.32', 'sei': '28.94'}",CHEMBL568545,,CHEMBL568545,8.30,0,http://www.openphacts.org/units/Nanomolar,862817,=,1,1,=,,IC50,nM,,5.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.005
,,3016288,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3cc(Cl)ccc3c3ccccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '20.88', 'le': '0.42', 'lle': '0.98', 'sei': '27.75'}",CHEMBL567282,,CHEMBL567282,7.96,0,http://www.openphacts.org/units/Nanomolar,862678,=,1,1,=,,IC50,nM,,11.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.011
,,3016289,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3ccc(Br)cc3c3ccccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '20.43', 'le': '0.46', 'lle': '1.61', 'sei': '30.33'}",CHEMBL584932,,CHEMBL584932,8.70,0,http://www.openphacts.org/units/Nanomolar,862687,=,1,1,=,,IC50,nM,,2.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.002
,,3016290,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c([nH]1)c1ccccc1c1cccc(Br)c12,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '16.35', 'le': '0.37', 'lle': '-0.13', 'sei': '24.26'}",CHEMBL568551,,CHEMBL568551,6.96,0,http://www.openphacts.org/units/Nanomolar,862688,=,1,1,=,,IC50,nM,,110.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.11
,,3016291,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3cc(Br)ccc3c3ccccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '17.86', 'le': '0.40', 'lle': '0.51', 'sei': '26.51'}",CHEMBL566445,,CHEMBL566445,7.60,0,http://www.openphacts.org/units/Nanomolar,862699,=,1,1,=,,IC50,nM,,25.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.025
,,3016292,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3cccc(Br)c3c3ccccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '19.02', 'le': '0.43', 'lle': '1.01', 'sei': '28.23'}",CHEMBL566261,,CHEMBL566261,8.10,0,http://www.openphacts.org/units/Nanomolar,862739,=,1,1,=,,IC50,nM,,8.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.008
,,3016293,[],CHEMBL1050553,Displacement of [3H]PGH2 from human recombinant PGES1 expressed in CHOK1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(Cl)c1-c1nc2c3ccc(Br)cc3c3cc(Br)ccc3c2[nH]1,,,CHEMBL1156058,Bioorg Med Chem Lett,2009,"{'bei': '16.89', 'le': '0.43', 'lle': '0.67', 'sei': '29.72'}",CHEMBL568125,,CHEMBL568125,8.52,0,http://www.openphacts.org/units/Nanomolar,862762,=,1,1,=,,IC50,nM,,3.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,0.003
